"s","birthName"
"http://dbpedia.org/resource/H.D.","Hilda Doolittle"
"http://dbpedia.org/resource/Anne_Rice","Howard Allen Frances O'Brien"
"http://dbpedia.org/resource/Hristo_Botev","Hristo Botyov Petkov"
"http://dbpedia.org/resource/Hristo_Smirnenski","Hristo Izmirliev"
"http://dbpedia.org/resource/Hugo_Claus","Hugo Maurice Julien Claus"
"http://dbpedia.org/resource/Roy_Campbell_(poet)","Ignatius Royston Dunnachie Campbell"
"http://dbpedia.org/resource/Tudor_Arghezi","Ion Nae Theodorescu"
"http://dbpedia.org/resource/Joseph_Brodsky","Iosif Aleksandrovich Brodsky"
"http://dbpedia.org/resource/Allen_Ginsberg","Irwin Allen Ginsberg"
"http://dbpedia.org/resource/Ishmael_Reed","Ishmael Scott Reed"
"http://dbpedia.org/resource/Comte_de_Lautréamont","Isidore Lucien Ducasse"
"http://dbpedia.org/resource/Ivor_Gurney","Ivor Bertie Gurney"
"http://dbpedia.org/resource/Bella_Akhmadulina","Izabella Akhatovna Akhmadulina"
"http://dbpedia.org/resource/Sydor_Rey","Izydor Reiss"
"http://dbpedia.org/resource/Jaime_Sabines","Jaime Sabines Gutiérrez"
"http://dbpedia.org/resource/Jacobus_Revius","Jakob Reefsen"
"http://dbpedia.org/resource/James_Wright_(poet)","James Arlington Wright"
"http://dbpedia.org/resource/Jim_Carroll","James Dennis Carroll"
"http://dbpedia.org/resource/Jim_Morrison","James Douglas Morrison"
"http://dbpedia.org/resource/Jim_Harrison","James Harrison"
"http://dbpedia.org/resource/Leigh_Hunt","James Henry Leigh Hunt"
"http://dbpedia.org/resource/James_Merrill","James Ingram Merrill"
"http://dbpedia.org/resource/James_K._Baxter","James Keir Baxter"
"http://dbpedia.org/resource/J._K._Annand","James King Annand"
"http://dbpedia.org/resource/James_Dickey","James Lafayette Dickey"
"http://dbpedia.org/resource/James_Larkin_Pearson","James Larkin Pearson"
"http://dbpedia.org/resource/Langston_Hughes","James Mercer Langston Hughes"
"http://dbpedia.org/resource/James_Agee","James Rufus Agee"
"http://dbpedia.org/resource/James_Tate_(writer)","James Vincent Tate"
"http://dbpedia.org/resource/Yusef_Komunyakaa","James William Brown"
"http://dbpedia.org/resource/Jan_Neruda","Jan Nepomuk Neruda"
"http://dbpedia.org/resource/Jan_Brzechwa","Jan Wiktor Lesman"
"http://dbpedia.org/resource/Elizabeth_Roberts_MacDonald","Jane Elizabeth Gostwycke Roberts"
"http://dbpedia.org/resource/Jane_Wilde","Jane Francesca Agnes Elgee"
"http://dbpedia.org/resource/Janet_Frame","Janet Paterson Frame"
"http://dbpedia.org/resource/Jody_Azzouni","Jawad Azzouni"
"http://dbpedia.org/resource/Jean_Cocteau","Jean Maurice Eugène Clément Cocteau"
"http://dbpedia.org/resource/Arthur_Rimbaud","Jean Nicolas Arthur Rimbaud"
"http://dbpedia.org/resource/Molière","Jean-Baptiste Poquelin"
"http://dbpedia.org/resource/Jean_Racine","Jean-Baptiste Racine"
"http://dbpedia.org/resource/Jack_Kerouac","Jean-Louis Kérouac"
"http://dbpedia.org/resource/Jesse_Stuart","Jesse Hilton Stuart"
"http://dbpedia.org/resource/Guru_Ram_Das","Jetha Mal Sodhi"
"http://dbpedia.org/resource/Jibanananda_Das","Jibanananda Das"
"http://dbpedia.org/resource/Joan_Brossa","Joan Brossa i Cuervo"
"http://dbpedia.org/resource/Friedrich_Hölderlin","Johann Christian Friedrich Hölderlin"
"http://dbpedia.org/resource/Friedrich_Schiller","Johann Christoph Friedrich Schiller"
"http://dbpedia.org/resource/Johann_Wolfgang_von_Goethe","Johann Wolfgang Goethe"
"http://dbpedia.org/resource/John_Berryman","John Allyn Smith, Jr."
"http://dbpedia.org/resource/John_Betjeman","John Betjemann"
"http://dbpedia.org/resource/Anthony_Burgess","John Burgess Wilson"
"http://dbpedia.org/resource/Brion_Gysin","John Clifford Brian Gysin"
"http://dbpedia.org/resource/Heathcote_Williams","John Henley Heathcote-Williams"
"http://dbpedia.org/resource/John_Henry_Newman","John Henry Newman"
"http://dbpedia.org/resource/John_Updike","John Hoyer Updike"
"http://dbpedia.org/resource/John_Ashbery","John Lawrence Ashbery"
"http://dbpedia.org/resource/James_Reeves_(writer)","John Morris Reeves"
"http://dbpedia.org/resource/Robinson_Jeffers","John Robinson Jeffers"
"http://dbpedia.org/resource/Saunders_Lewis","John Saunders Lewis"
"http://dbpedia.org/resource/Jorge_Luis_Borges","Jorge Francisco Isidoro Luis Borges Acevedo"
"http://dbpedia.org/resource/Jorge_Guillén","Jorge Guillén Álvarez"
"http://dbpedia.org/resource/Jorie_Graham","Jorie Pepper"
"http://dbpedia.org/resource/Hilaire_Belloc","Joseph Hilaire Pierre René Belloc"
"http://dbpedia.org/resource/Joseph_Freiherr_von_Eichendorff","Joseph Karl Benedikt Freiherr (Baron) von Eichendorff"
"http://dbpedia.org/resource/Ford_Madox_Ford","Joseph Leopold Ford Hermann Madox Hueffer"
"http://dbpedia.org/resource/Rudyard_Kipling","Joseph Rudyard Kipling"
"http://dbpedia.org/resource/Josephine_D._Heard","Josephine Delphine Henderson"
"http://dbpedia.org/resource/José_Martí","José Julián Martí Pérez"
"http://dbpedia.org/resource/Jovan_Jovanović_Zmaj","Jovan Jovanović"
"http://dbpedia.org/resource/Judith_Wright","Judith Arundell Wright"
"http://dbpedia.org/resource/Judith_Ortiz_Cofer","Judith Ortiz"
"http://dbpedia.org/resource/Théophile_Gautier","Jules Théophile Gautier"
"http://dbpedia.org/resource/Juliusz_Słowacki","Juliusz Słowacki,"
"http://dbpedia.org/resource/June_Jordan","June Millicent Jordan"
"http://dbpedia.org/resource/Joseph_Conrad","Józef Teodor Konrad Korzeniowski"
"http://dbpedia.org/resource/Fleur_Adcock","Kareen Fleur Adcock"
"http://dbpedia.org/resource/Kathy_Acker","Karen Lehman"
"http://dbpedia.org/resource/Louise_Erdrich","Karen Louise Erdrich"
"http://dbpedia.org/resource/Karl_May","Karl Friedrich May"
"http://dbpedia.org/resource/Georg_Büchner","Karl Georg Büchner"
"http://dbpedia.org/resource/Oodgeroo_Noonuccal","Kathleen Jean Mary Ruska"
"http://dbpedia.org/resource/Kathleen_Raine","Kathleen Jessie Raine"
"http://dbpedia.org/resource/Kathryn_Stripling_Byer","Kathryn Stripling"
