"s","birthPlace"
"http://dbpedia.org/resource/Alice_Notley","http://dbpedia.org/resource/Bisbee,_Arizona"
"http://dbpedia.org/resource/Henry_Taylor_(dramatist)","http://dbpedia.org/resource/Bishop_Middleham"
"http://dbpedia.org/resource/Emilia_Lanier","http://dbpedia.org/resource/Bishopsgate"
"http://dbpedia.org/resource/Edward_Alexander_Wyon","http://dbpedia.org/resource/Bloomsbury"
"http://dbpedia.org/resource/Charlotte_Mew","http://dbpedia.org/resource/Bloomsbury"
"http://dbpedia.org/resource/Yusef_Komunyakaa","http://dbpedia.org/resource/Bogalusa,_Louisiana"
"http://dbpedia.org/resource/Józef_Bohdan_Zaleski","http://dbpedia.org/resource/Bohatyrka,_Ukraine"
"http://dbpedia.org/resource/Pindar","http://dbpedia.org/resource/Boiotia"
"http://dbpedia.org/resource/Maria_Luise_Thurmair","http://dbpedia.org/resource/Bolzano"
"http://dbpedia.org/resource/Rudyard_Kipling","http://dbpedia.org/resource/Bombay_Presidency"
"http://dbpedia.org/resource/Savitribai_Phule","http://dbpedia.org/resource/Bombay_Presidency"
"http://dbpedia.org/resource/Kusumagraj","http://dbpedia.org/resource/Bombay_Presidency"
"http://dbpedia.org/resource/Breyten_Breytenbach","http://dbpedia.org/resource/Bonnievale,_Western_Cape"
"http://dbpedia.org/resource/Albert_Wass","http://dbpedia.org/resource/Bonțida"
"http://dbpedia.org/resource/Ausonius","http://dbpedia.org/resource/Bordeaux"
"http://dbpedia.org/resource/Johannes_Anyuru","http://dbpedia.org/resource/Borås"
"http://dbpedia.org/resource/Sima_Milutinović_Sarajlija","http://dbpedia.org/resource/Bosnia_Eyalet"
"http://dbpedia.org/resource/Jovan_Dučić","http://dbpedia.org/resource/Bosnia_Vilayet"
"http://dbpedia.org/resource/Petar_Kočić","http://dbpedia.org/resource/Bosnia_Vilayet"
"http://dbpedia.org/resource/Aleksa_Šantić","http://dbpedia.org/resource/Bosnia_Vilayet"
"http://dbpedia.org/resource/Robert_Lowell","http://dbpedia.org/resource/Boston"
"http://dbpedia.org/resource/Edgar_Allan_Poe","http://dbpedia.org/resource/Boston"
"http://dbpedia.org/resource/Helene_Johnson","http://dbpedia.org/resource/Boston"
"http://dbpedia.org/resource/Susan_Howe","http://dbpedia.org/resource/Boston"
"http://dbpedia.org/resource/Ralph_Waldo_Emerson","http://dbpedia.org/resource/Boston"
"http://dbpedia.org/resource/Stephen_Ratcliffe","http://dbpedia.org/resource/Boston,_MA"
"http://dbpedia.org/resource/Ellen_Hinsey","http://dbpedia.org/resource/Boston,_Massachusetts"
"http://dbpedia.org/resource/Angelina_Weld_Grimké","http://dbpedia.org/resource/Boston,_Massachusetts"
"http://dbpedia.org/resource/John_Ciardi","http://dbpedia.org/resource/Boston,_Massachusetts"
"http://dbpedia.org/resource/Sylvia_Plath","http://dbpedia.org/resource/Boston,_Massachusetts"
"http://dbpedia.org/resource/Mihai_Eminescu","http://dbpedia.org/resource/Botoșani"
"http://dbpedia.org/resource/René_Daumal","http://dbpedia.org/resource/Boulzicourt"
"http://dbpedia.org/resource/Carlos_Drummond_de_Andrade","http://dbpedia.org/resource/Brazil"
"http://dbpedia.org/resource/Mário_de_Andrade","http://dbpedia.org/resource/Brazil"
"http://dbpedia.org/resource/Cecília_Meireles","http://dbpedia.org/resource/Brazil"
"http://dbpedia.org/resource/János_Mattis-Teutsch","http://dbpedia.org/resource/Braşov"
"http://dbpedia.org/resource/Lajos_Áprily","http://dbpedia.org/resource/Brașov"
"http://dbpedia.org/resource/John_Milton","http://dbpedia.org/resource/Bread_Street"
"http://dbpedia.org/resource/Henry_Vaughan","http://dbpedia.org/resource/Brecknockshire"
"http://dbpedia.org/resource/Edward_FitzGerald_(poet)","http://dbpedia.org/resource/Bredfield"
"http://dbpedia.org/resource/Edward_FitzGerald_(poet)","http://dbpedia.org/resource/Bredfield_House"
"http://dbpedia.org/resource/Dietrich_Bonhoeffer","http://dbpedia.org/resource/Breslau"
"http://dbpedia.org/resource/Julian_Ursyn_Niemcewicz","http://dbpedia.org/resource/Brest,_Belarus"
"http://dbpedia.org/resource/Kamau_Brathwaite","http://dbpedia.org/resource/Bridgetown"
"http://dbpedia.org/resource/Peter_Porter_(poet)","http://dbpedia.org/resource/Brisbane"
"http://dbpedia.org/resource/Gwen_Harwood","http://dbpedia.org/resource/Brisbane"
"http://dbpedia.org/resource/Samuel_Wagan_Watson","http://dbpedia.org/resource/Brisbane"
"http://dbpedia.org/resource/Robert_Southey","http://dbpedia.org/resource/Bristol"
"http://dbpedia.org/resource/Mary_Robinson_(poet)","http://dbpedia.org/resource/Bristol"
"http://dbpedia.org/resource/Thomas_Chatterton","http://dbpedia.org/resource/Bristol"
"http://dbpedia.org/resource/Isaac_Rosenberg","http://dbpedia.org/resource/Bristol"
"http://dbpedia.org/resource/Shamsur_Rahman_(poet)","http://dbpedia.org/resource/British_Bengal"
"http://dbpedia.org/resource/Raipiyel_Tennakoon","http://dbpedia.org/resource/British_Ceylon"
"http://dbpedia.org/resource/Evelyn_Lau","http://dbpedia.org/resource/British_Columbia"
"http://dbpedia.org/resource/Roy_Campbell_(poet)","http://dbpedia.org/resource/British_Empire"
"http://dbpedia.org/resource/Wilson_Harris","http://dbpedia.org/resource/British_Guiana"
"http://dbpedia.org/resource/John_Agard","http://dbpedia.org/resource/British_Guiana"
"http://dbpedia.org/resource/Josh_Malihabadi","http://dbpedia.org/resource/British_India"
"http://dbpedia.org/resource/Veturi","http://dbpedia.org/resource/British_India"
